GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12.extensions.coverage,TiledGriddedCoverageTests,482,1226,86,94,75,225,65,40,0,15
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12.extensions.nonlinear,NonlinearTests,37,218,11,15,10,41,7,11,0,5
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12.extensions,ExtensionsTests,25,436,11,37,1,78,11,19,0,6
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12.extensions.metadata,MetadataTests.Metadata,5,95,1,1,1,5,2,3,1,3
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12.extensions.metadata,MetadataTests,27,796,11,43,3,137,11,30,0,14
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12.extensions.metadata,MetadataTests.MetadataReference,44,63,1,1,3,13,2,6,1,6
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12.extensions.relatedtables,TilesTests,10,6,0,0,4,2,1,2,1,2
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12.extensions.relatedtables,RTEBase,0,167,0,6,0,28,0,7,0,4
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12.extensions.relatedtables,FeaturesTests,10,6,0,0,4,2,1,2,1,2
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12.extensions.relatedtables,AttributesTests,10,6,0,0,4,2,1,2,1,2
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12.extensions.relatedtables,SimpleAttributesTests,113,6,6,0,22,2,4,2,1,2
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12.extensions.relatedtables,MediaTests,1,211,1,9,0,38,1,7,0,3
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12.extensions.relatedtables,RTETests,54,1111,6,36,4,170,6,24,0,9
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12.extensions.webp,WebPTests,33,191,9,7,7,36,6,9,1,6
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12.extensions.schema,SchemaTests,328,1104,44,68,52,176,36,34,0,14
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12.extensions.rtreeindex,RTreeIndexTests,148,390,7,23,7,71,7,13,0,5
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12,TableVerifier,161,363,18,34,20,79,16,18,0,8
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12,UniqueDefinition,9,56,4,8,3,11,5,7,1,5
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12,ColumnDefinition,77,77,15,17,7,14,13,8,2,3
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12,TestRunArguments,53,0,6,0,9,0,6,0,3,0
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12,ErrorMessage,7,10,0,0,2,2,2,2,2,2
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12,Namespaces,0,7,0,0,0,2,0,1,0,1
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12,TestFailureListener,0,7,0,0,0,3,0,2,0,2
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12,GPKG12,3,36,0,0,1,6,1,1,1,1
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12,FeaturesFixture,0,42,0,0,0,4,0,3,0,3
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12,ErrorMessageKeys,3,0,0,0,1,0,1,0,1,0
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12,ForeignKeyDefinition,28,70,9,13,8,14,12,5,3,3
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12,SuiteAttribute,19,52,0,0,3,11,1,4,1,4
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12,TestRunListener,0,5,0,0,0,3,0,3,0,3
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12,SuiteFixtureListener,9,78,2,4,3,20,2,6,0,5
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12,TestNGController,97,114,4,6,26,25,8,5,4,4
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12,CommonFixture,35,487,13,37,8,98,13,22,0,10
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12,SuitePreconditions,24,76,2,2,4,20,2,3,0,3
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12,ETSAssert,215,83,12,2,44,18,11,3,4,3
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12,TestRunArg,0,19,0,0,0,4,0,2,0,2
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12,TileFixture,4,244,3,17,1,51,3,14,0,7
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12.extensions.crswkt,CRSWKT,4,188,4,14,0,34,4,9,0,4
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12.core,VersionTests,13,63,3,7,2,16,3,6,0,4
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12.core,DataContentsTests,26,430,4,16,5,64,4,15,0,9
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12.core,SQLiteContainerTests,27,529,9,17,6,126,8,14,0,9
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12.core,SpatialReferenceSystemsTests,13,522,7,23,1,76,7,13,0,5
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12.features,FeaturesTests,865,1829,130,192,134,409,112,91,1,29
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12.attributes,AttributeTests,0,92,0,6,0,18,0,6,0,3
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12.util,NamespaceBindings,25,69,1,5,4,19,5,7,4,5
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12.util,ValidationUtils,49,153,9,11,12,35,10,6,1,5
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12.util,GeoPackageUtils,0,20,0,0,0,5,0,2,0,2
GeoPackage 1.2 Conformance Test Suite,org.opengis.cite.gpkg12.util,XMLUtils,412,215,26,8,111,60,22,12,8,9
